Country Name,Country Code,Año,Balanza_comercial,Desempleo,Exportaciones bienes y servicios,Exportaciones mercaderías,Exportaciones servicios comerciales,Importaciones bienes y servicios,Importaciones mercaderías,Importaciones servicios comerciales,Importaciones minerales y metales,Importaciones productos manufacturados,Exportaciones productos manufacturados,Exportaciones metales y minerales,Exportaciones combustibles,Importaciones combustibles,PIB
Canadá,CAN,2000,42102888694,6.828700066,3.29E+11,2.77E+11,39253193048,2.87E+11,2.45E+11,42561049856,5.67E+11,2.07E+13,1.81E+13,1.29E+12,3.92E+12,1.31E+12,7.42E+11
Canadá,CAN,2001,42385717975,7.218599796,3.11E+11,2.60E+11,38056026790,2.68E+11,2.27E+11,41633582500,5.14E+11,1.89E+13,1.66E+13,1.20E+12,3.99E+12,1.31E+12,7.36E+11
Canadá,CAN,2002,33546804308,7.664800167,3.05E+11,2.52E+11,39943614814,2.71E+11,2.27E+11,43041563045,4.95E+11,1.91E+13,1.60E+13,1.13E+12,3.20E+12,1.14E+12,7.58E+11
Canadá,CAN,2003,34853329527,7.573800087,3.30E+11,2.73E+11,44183360336,2.95E+11,2.45E+11,49891626742,5.26E+11,2.02E+13,1.67E+13,1.22E+12,4.42E+12,1.57E+12,8.92E+11
Canadá,CAN,2004,45822444274,7.185299873,3.83E+11,3.17E+11,51974068241,3.37E+11,2.80E+11,57056969027,7.15E+11,2.28E+13,1.92E+13,1.75E+12,5.66E+12,2.02E+12,1.02E+12
Canadá,CAN,2005,46388017825,6.758100033,4.32E+11,3.60E+11,58921423464,3.86E+11,3.22E+11,64516865040,8.11E+11,2.57E+13,2.09E+13,2.13E+12,7.79E+12,3.01E+12,1.17E+12
Canadá,CAN,2006,36316114245,6.320300102,4.67E+11,3.88E+11,64950534194,4.31E+11,3.59E+11,72201494740,1.04E+12,2.84E+13,2.17E+13,3.14E+12,8.31E+12,3.34E+12,1.32E+12
Canadá,CAN,2007,31956987245,6.036099911,5.03E+11,4.21E+11,69643620652,4.71E+11,3.90E+11,81704679378,1.16E+12,3.06E+13,2.25E+13,3.95E+12,9.43E+12,3.71E+12,1.46E+12
Canadá,CAN,2008,27432052484,6.13710022,5.34E+11,4.56E+11,73910753309,5.07E+11,4.19E+11,88946829906,1.20E+12,3.15E+13,2.15E+13,3.85E+12,1.36E+13,5.30E+12,1.55E+12
Canadá,CAN,2009,-19832035692,8.343999863,3.92E+11,3.16E+11,67516535499,4.12E+11,3.30E+11,82288305475,7.58E+11,2.55E+13,1.58E+13,2.31E+12,7.92E+12,3.19E+12,1.37E+12
Canadá,CAN,2010,-30297153534,8.055500031,4.72E+11,3.87E+11,75299835454,5.02E+11,4.03E+11,97239565929,1.13E+12,3.09E+13,1.90E+13,3.23E+12,1.02E+13,4.20E+12,1.61E+12
Canadá,CAN,2011,-20473341723,7.511099815,5.50E+11,4.51E+11,83747376409,5.70E+11,4.64E+11,1.06E+11,1.49E+12,3.45E+13,2.08E+13,4.11E+12,1.29E+13,5.68E+12,1.79E+12
Canadá,CAN,2012,-34553046372,7.291800022,5.55E+11,4.56E+11,90509229741,5.90E+11,4.76E+11,1.13E+11,1.30E+12,3.61E+13,2.20E+13,3.44E+12,1.21E+13,5.48E+12,1.83E+12
Canadá,CAN,2013,-28949406972,7.073599815,5.60E+11,4.58E+11,92199898735,5.89E+11,4.76E+11,1.15E+11,1.20E+12,3.60E+13,2.16E+13,3.32E+12,1.25E+13,5.34E+12,1.85E+12
Canadá,CAN,2014,-16331180960,6.91410017,5.72E+11,4.76E+11,91455837850,5.89E+11,4.75E+11,1.13E+11,1.27E+12,3.61E+13,2.17E+13,3.49E+12,1.43E+13,5.04E+12,1.80E+12
Canadá,CAN,2015,-38358283731,6.906499863,4.96E+11,4.10E+11,83781108146,5.34E+11,4.30E+11,1.04E+11,1.16E+12,3.39E+13,2.15E+13,3.01E+12,8.74E+12,3.10E+12,1.56E+12
Canadá,CAN,2016,-36044222958,6.998899937,4.81E+11,3.90E+11,86270897895,5.17E+11,4.13E+11,1.04E+11,1.08E+12,3.27E+13,2.12E+13,2.77E+12,7.13E+12,2.67E+12,1.53E+12
Canadá,CAN,2017,-36506640115,6.339700222,5.18E+11,4.21E+11,93063926790,5.55E+11,4.44E+11,1.11E+11,1.15E+12,3.50E+13,2.12E+13,3.12E+12,9.57E+12,3.16E+12,1.65E+12
Canadá,CAN,2018,-33619007840,5.830800056,5.51E+11,4.51E+11,97621694850,5.84E+11,4.71E+11,1.15E+11,1.24E+12,3.67E+13,2.21E+13,3.41E+12,1.12E+13,3.82E+12,1.72E+12
Estados Unidos,USA,2000,-3.75E+11,3.992000103,1.10E+12,7.82E+11,2.89E+11,1.47E+12,1.26E+12,2.44E+23,2.73E+12,9.74E+13,6.47E+13,1.49E+12,1.45E+12,1.40E+13,1.03E+13
Estados Unidos,USA,2001,-3.68E+11,4.731299877,1.02E+12,7.29E+11,2.76E+11,1.39E+12,1.18E+12,2.29E+23,2.46E+12,9.12E+13,5.97E+13,1.43E+12,1.38E+12,1.26E+13,1.06E+13
Estados Unidos,USA,2002,-4.25E+11,5.783199787,9.99E+11,6.93E+11,2.80E+11,1.42E+12,1.20E+12,2.31E+23,2.16E+12,9.36E+13,5.65E+13,1.36E+12,1.27E+12,1.21E+13,1.09E+13
